"Normalized Flux(Phase), created by Plot Digitizer, 2.5.0 dev"
"Date: 3/20/13, 3:50:56 PM"


37
Phase,Normalized Flux
-0.29950,1.00004
-0.25513,1.00004
-0.20134,1.00000
-0.14218,1.00004
-0.11261,1.00011
-0.08168,1.00019
-0.06824,1.00028
-0.05613,1.00041
-0.04403,1.00052
-0.03328,0.99985
-0.02924,0.99926
-0.02387,0.99836
-0.00370,0.99377
0.00168,0.99245
0.00571,0.99194
0.01378,0.99152
0.02050,0.99148
0.02454,0.99172
0.02857,0.99206
0.03395,0.99302
0.04605,0.99548
0.06084,0.99779
0.06756,0.99851
0.07832,0.99907
0.08773,0.99946
0.09714,0.99974
0.10924,0.99996
0.12807,1.00004
0.14824,1.00011
0.17513,1.00011
0.22756,1.00006
0.34992,1.00004
0.46017,1.00002
0.53277,1.00006
0.57849,1.00004
0.63496,1.00004
0.69412,1.00006
