"Normalized Flux(Phase), created by Plot Digitizer, 2.5.0 dev"
"Date: 3/20/13, 3:47:33 PM"


24
Phase,Normalized Flux
-0.29201,1.00005
-0.26973,1.00005
-0.19806,1.00005
-0.12639,1.00005
-0.07119,1.00008
-0.05182,1.00012
-0.04310,1.00014
-0.03632,1.00006
-0.02470,0.99970
-0.01501,0.99907
0.00145,0.99824
0.01404,0.99754
0.02857,0.99759
0.04504,0.99843
0.06441,0.99911
0.08571,0.99944
0.10896,0.99974
0.13898,0.99988
0.16416,0.99997
0.20581,1.00005
0.25133,1.00006
0.43923,1.00005
0.57288,1.00005
0.69588,1.00005
