#Filename                      Shift
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00085_a_straight_es_ms.fits      0.2222222
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00086_a_straight_es_ms.fits      0.2222222
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00087_a_straight_es_ms.fits      0.5555556
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00088_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00089_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00090_a_straight_es_ms.fits     -0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00091_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00092_a_straight_es_ms.fits      0.0000000
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00093_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00094_a_straight_es_ms.fits      0.6666667
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00095_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00096_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00097_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00098_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00099_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00100_a_straight_es_ms.fits      0.3333333
/Users/everettschlawin/Documents/surveys/bd_burgasser_irtf/2mass_j2057m0252_n01/proc/run_sbd_2017A013_170721_run01__00101_a_straight_es_ms.fits      0.3333333
